seg,human_secs,human_path,human_ups,entry_ups,direct,arrived,secs,ratio,cross_p50,cross_p95,cross_max,speed,late_speed,yaw_p95,reverse,wall,bot_path,comparable
360,1.983,648,327,301,0.821,1,1.679,0.847,24.0,60.7,64.6,0.863,0.840,621,0,29,551,1
360,1.983,648,327,301,0.821,1,1.582,0.798,28.9,55.8,57.2,0.933,0.980,470,0,29,555,1
360,1.983,648,327,301,0.821,1,1.757,0.886,25.7,62.9,68.6,0.851,0.821,546,0,34,554,1
369,2.018,645,320,373,0.623,1,6.662,3.301,80.2,449.9,491.8,1.015,0.833,703,227,126,2133,1
369,2.018,645,320,373,0.623,1,6.268,3.106,99.2,442.1,476.4,1.117,0.904,565,212,119,2110,1
369,2.018,645,320,373,0.623,1,10.998,5.450,160.5,453.9,486.6,1.103,0.997,612,408,207,3808,1
378,2.071,649,314,289,0.399,1,1.308,0.632,55.3,115.9,117.1,1.038,1.038,367,9,29,524,1
378,2.071,649,314,289,0.399,1,1.334,0.644,54.3,113.3,116.7,1.029,1.000,367,7,31,543,1
378,2.071,649,314,289,0.399,1,1.373,0.663,48.4,115.6,116.9,1.030,1.008,370,8,30,548,1
387,2.099,644,307,344,0.380,1,0.734,0.350,10.9,20.0,20.4,1.171,1.442,350,0,13,239,0
387,2.099,644,307,344,0.380,1,0.649,0.309,8.7,20.9,21.6,1.190,1.585,348,0,15,227,0
387,2.099,644,307,344,0.380,1,0.668,0.318,10.1,21.9,22.5,1.232,1.752,324,0,15,236,0
396,2.144,641,299,455,0.399,1,1.316,0.614,22.8,52.8,56.9,0.963,1.134,874,10,25,346,0
396,2.144,641,299,455,0.399,1,1.319,0.615,24.4,55.4,59.5,0.950,1.085,884,17,21,347,0
396,2.144,641,299,455,0.399,1,1.321,0.616,22.0,50.6,55.3,0.951,1.090,834,14,23,345,0
405,2.197,643,293,352,0.171,1,0.513,0.233,2.9,7.6,9.5,0.845,0.938,407,6,9,124,0
405,2.197,643,293,352,0.171,1,0.528,0.240,11.4,21.3,23.4,0.822,0.867,924,0,10,135,0
405,2.197,643,293,352,0.171,1,0.526,0.239,11.0,21.3,22.8,0.805,0.844,915,0,9,135,0
414,2.243,642,286,446,0.510,1,1.188,0.530,19.0,49.1,53.5,0.966,1.321,304,0,21,386,1
414,2.243,642,286,446,0.510,1,1.198,0.534,20.3,49.9,53.3,0.923,1.186,363,0,21,390,1
414,2.243,642,286,446,0.510,1,1.200,0.535,19.3,49.8,53.2,0.963,1.228,338,0,18,389,1
423,2.330,641,275,219,0.680,1,4.603,1.976,137.2,306.4,313.1,1.205,1.249,817,15,84,1323,1
423,2.330,641,275,219,0.680,1,4.124,1.770,93.0,343.0,352.6,1.524,1.837,749,16,83,1458,1
423,2.330,641,275,219,0.680,1,4.612,1.979,132.9,302.4,305.8,1.183,1.209,826,14,89,1301,1
432,2.396,648,270,346,0.279,1,1.116,0.466,41.3,52.7,53.2,0.708,0.694,839,7,18,245,0
432,2.396,648,270,346,0.279,1,1.102,0.460,41.0,52.4,52.7,0.834,0.875,856,5,18,246,0
432,2.396,648,270,346,0.279,1,1.058,0.441,40.3,52.1,52.3,0.856,0.855,753,4,17,245,0
441,2.449,647,264,181,0.497,1,1.879,0.767,13.6,61.4,63.9,1.068,1.164,987,28,29,417,1
441,2.449,647,264,181,0.497,1,2.090,0.854,19.3,52.9,62.9,0.868,0.893,1732,35,28,393,1
441,2.449,647,264,181,0.497,1,2.043,0.834,18.6,55.4,64.6,0.871,0.898,2726,34,27,392,1
450,2.504,640,256,120,0.297,1,1.039,0.415,29.4,46.2,49.3,0.802,0.847,1333,8,15,210,0
450,2.504,640,256,120,0.297,1,1.134,0.453,25.0,36.8,39.8,0.819,0.872,2027,9,17,206,0
450,2.504,640,256,120,0.297,1,1.066,0.426,24.9,37.9,40.5,0.817,0.844,900,7,13,206,0
459,2.602,644,248,330,0.124,1,0.354,0.136,7.7,20.7,22.7,1.276,2.700,1124,3,5,88,0
459,2.602,644,248,330,0.124,1,0.357,0.137,7.7,20.7,22.7,1.289,2.789,1046,3,6,88,0
459,2.602,644,248,330,0.124,1,0.357,0.137,9.7,19.3,23.8,0.981,1.500,1080,1,6,90,0
468,2.702,643,238,57,0.536,1,1.444,0.534,61.7,87.8,94.2,0.946,1.159,224,0,24,306,0
468,2.702,643,238,57,0.536,1,1.412,0.523,61.3,88.1,94.3,0.932,1.110,195,0,24,304,0
468,2.702,643,238,57,0.536,1,1.435,0.531,61.0,88.1,93.6,0.940,1.099,240,0,24,306,0
477,2.918,642,220,542,0.823,1,2.380,0.816,36.5,68.7,80.6,1.660,2.617,617,19,42,707,1
477,2.918,642,220,542,0.823,1,2.451,0.840,32.4,77.9,83.4,1.783,2.840,896,17,42,732,1
477,2.918,642,220,542,0.823,1,2.417,0.828,32.8,76.7,83.5,1.691,2.606,613,21,42,724,1
486,1.312,268,204,295,0.490,1,0.369,0.281,5.6,19.9,23.9,1.639,3.272,454,0,6,118,0
486,1.312,268,204,295,0.490,1,0.371,0.283,5.5,20.7,22.2,1.594,3.549,460,0,7,116,0
486,1.312,268,204,295,0.490,1,0.374,0.285,5.6,20.0,24.0,1.432,3.010,396,0,6,119,0
495,3.323,641,193,475,0.973,1,3.944,1.187,18.0,84.1,88.9,0.943,1.051,500,36,58,634,1
495,3.323,641,193,475,0.973,1,3.946,1.188,18.7,84.4,89.1,0.929,1.051,452,41,62,633,1
495,3.323,641,193,475,0.973,1,3.955,1.190,18.5,84.2,89.1,0.949,1.069,494,40,63,639,1
504,3.493,640,183,360,1.037,1,11.585,3.317,9.8,63.5,71.5,0.534,0.461,837,6,85,732,1
504,3.493,640,183,360,1.037,1,11.581,3.315,10.5,63.4,71.5,0.530,0.465,672,17,81,768,1
504,3.493,640,183,360,1.037,1,7.443,2.131,25.1,65.6,71.3,0.562,0.518,500,15,79,657,1
513,2.099,366,175,184,0.838,1,14.975,7.134,7.7,207.4,207.4,0.835,0.893,5958,309,100,992,1
513,2.099,366,175,184,0.838,1,11.763,5.604,10.6,207.4,207.4,0.850,0.921,1057,392,94,907,1
513,2.099,366,175,184,0.838,1,11.800,5.622,9.0,207.4,207.4,0.836,0.874,753,378,86,897,1
522,3.778,641,170,163,0.751,1,6.485,1.716,66.7,134.0,146.1,0.881,0.833,707,52,83,762,1
522,3.778,641,170,163,0.751,1,3.081,0.816,31.8,69.8,70.9,0.952,1.016,424,0,45,470,1
522,3.778,641,170,163,0.751,1,6.335,1.677,67.1,136.4,146.5,0.913,0.906,734,53,81,753,1
531,4.000,638,160,178,0.874,0,11.415,2.854,40.3,223.9,226.6,0.987,0.992,304,2,42,929,1
531,4.000,638,160,178,0.874,0,14.364,3.591,126.2,224.1,225.9,0.874,0.950,617,2,120,1070,1
531,4.000,638,160,178,0.874,0,14.323,3.581,126.0,224.1,225.8,0.863,0.939,547,4,121,1070,1
